Ano,Mes,Kennedy1,Carvajal2,CentroAltoRendimiento3,Usaquen4,PuenteAranda5,SanCristobal6,Tunal7,Guaymaral8,Ferias9,MinAmbiente10,Suba11
2014,1,95,NA,32,40,51,37,38,53,30,55,65
2014,2,103,101,50,51,63,54,47,72,40,66,79
2014,3,94,96,48,59,61,53,44,73,37,67,76
2014,4,74,89,34,38,44,32,29,38,25,43,58
2014,5,80,97,48,39,62,36,NA,25,NA,43,45
2014,6,49,88,32,26,54,41,51,24,NA,31,40
2014,7,NA,82,NA,22,NA,NA,38,19,NA,24,34
2014,8,57,86,NA,NA,NA,NA,52,23,NA,26,37
2014,9,58,NA,NA,NA,63,NA,50,32,31,30,NA
2014,10,61,90,38,34,73,45,56,35,42,39,45
2014,11,62,87,42,38,84,42,65,45,49,46,47
2014,12,71,98,41,38,81,43,74,43,45,46,45
2015,1,65,77,32,30,64,32,56,37,38,40,46
2015,2,94,102,42,42,65,43,60,36,48,49,56
2015,3,83,93,45,42,67,61,60,39,50,50,55
2015,4,67,88,24,29,53,25,41,29,32,35,47
2015,5,70,79,27,26,53,24,47,33,33,35,48
2015,6,48,72,15,18,35,13,30,20,22,23,35
2015,7,53,83,18,19,39,14,36,21,23,22,33
2015,8,53,77,18,22,38,15,29,24,30,26,37
2015,9,72,94,24,24,48,18,37,32,31,27,52
2015,10,74,100,36,32,54,21,40,32,36,34,55
2015,11,60,94,34,43,58,22,42,36,40,35,50
2015,12,56,76,23,31,50,18,35,30,30,28,NA
2016,1,85,95,57,NA,75,54,76,50,64,56,69
2016,2,NA,91,42,51,62,33,66,41,48,41,67
2016,3,NA,88,51,NA,69,41,NA,48,54,49,67
2016,4,64,NA,NA,43,54,NA,NA,NA,42,42,NA
2016,5,54,67,23,30,44,17,38,22,NA,27,NA
2016,6,46,65,18,28,38,NA,32,21,24,23,44
2016,7,45,NA,16,27,34,15,29,22,23,21,45
2016,8,53,67,20,32,40,17,35,26,28,22,NA
2016,9,53,67,29,38,42,20,38,29,35,26,NA
2016,10,53,71,38,50,50,22,49,34,41,35,43
2016,11,50,79,42,46,55,25,62,29,45,35,41
2016,12,61,84,41,39,62,28,54,NA,43,37,51
2017,1,27,59,33,46,33,45,50,50,54,39,24
2017,2,70,77,40,50,58,35,63,45,50,40,61
2017,3,52,68,NA,NA,51,30,52,30,40,NA,NA
2017,4,27,30,NA,16,20,12,23,18,NA,17,22
2017,5,24,27,NA,NA,17,9,19,11,13,NA,14
2017,6,48,67,NA,36,43,NA,34,22,30,26,45
2017,7,40,51,18,22,27,17,24,15,21,19,40
2017,8,54,64,26,27,40,25,NA,26,31,23,50
2017,9,60,64,29,31,42,25,35,27,34,26,52
2017,10,56,68,28,36,49,28,42,27,33,28,50
2017,11,63,78,40,53,61,36,55,32,50,NA,51
2017,12,57,65,36,45,52,34,42,36,45,NA,54
2018,1,54,66,29,38,46,26,39,32,38,NA,48
2018,2,65,70,41,60,61,40,56,42,56,NA,60
2018,3,58,72,35,52,59,37,50,36,46,NA,54
2018,4,52,74,31,44,50,35,47,25,36,34,45
2018,5,49,NA,NA,34,40,27,29,22,27,29,41
2018,6,41,64,NA,27,29,17,24,18,17,21,39
2018,7,40,62,15,39,27,20,26,22,17,21,41
2018,8,50,65,15,36,25,17,25,27,15,19,46
2018,9,52,70,28,44,38,21,35,31,29,26,43
2018,10,46,74,32,31,44,27,43,28,36,33,38
2018,11,50,78,34,32,52,28,44,NA,39,33,45
2018,12,50,66,30,28,48,22,39,28,32,33,53
